condition,selection,selectCode
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 2,0
Treatment,Option 2,0
Treatment,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 2,0
Treatment,Option 1,1
Treatment,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 2,0
Baseline,Option 2,0
Baseline,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Treatment,Option 2,0
Baseline,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 2,0
Baseline,Option 1,1
Treatment,Option 2,0
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 2,0
Treatment,Option 2,0
Treatment,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 2,0
Treatment,Option 2,0
Baseline,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 1,1
Baseline,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 1,1
Baseline,Option 1,1
Treatment,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 1,1
Treatment,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 2,0
Baseline,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 2,0
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 1,1
Treatment,Option 2,0
Baseline,Option 2,0
Treatment,Option 2,0
Baseline,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 1,1
Treatment,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 2,0
Baseline,Option 1,1
Treatment,Option 2,0
Baseline,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Treatment,Option 2,0
Baseline,Option 2,0
Treatment,Option 2,0
Baseline,Option 2,0
Baseline,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 2,0
Treatment,Option 2,0
Baseline,Option 1,1
Baseline,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 2,0
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 1,1
Treatment,Option 2,0
Treatment,Option 2,0
Treatment,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 1,1
Baseline,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Baseline,Option 2,0
Baseline,Option 2,0
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0
Treatment,Option 1,1
Treatment,Option 1,1
Treatment,Option 1,1
Baseline,Option 2,0